id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
7764;"Berliner Volksbank";1;159;"amenity";"undefined";"2014-08-17";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3066086,52.5061749]}";"";""
7816;"Tedi";1;63;"shop";"variety_store";"2016-06-09";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.457049,52.4424399]}";"";""
7856;"Alex Optik";1;75;"shop";"optician";"2016-05-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4434496,52.4797881]}";"";""
7957;"Die grüne Ecke";1;83;"shop";"florist";"2013-12-03";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3836307,52.455553]}";"";""
7978;"Netto Marken-Discount";1;49;"shop";"supermarket";"2015-12-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4337327,52.4850931]}";"";""
8020;"Hauptstraße/Rhinstraße";1;583;"highway";"bus_stop";"2015-12-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5049754,52.5489711]}";"";""
8036;"Steinshop";1;32;"shop";"convenience";"2012-03-21";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2855387,52.5885762]}";"";""
8099;"Society";1;160;"amenity";"bar";"2016-01-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6040719,52.5380648]}";"";""
8112;"Klinikum Neukölln";1;583;"highway";"bus_stop";"2015-12-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4581561,52.4399526]}";"";""
8124;"Steakrestaurant Rivado";1;169;"amenity";"restaurant";"2014-05-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4215367,52.4133986]}";"";""
8142;"Andreasstraße/Lange Straße";1;583;"highway";"bus_stop";"2016-06-29";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4310766,52.5123331]}";"";""
8167;"Kirchhainer Damm/Horstwalder Straße";1;583;"highway";"bus_stop";"2016-01-15";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4130734,52.3832192]}";"";""
8169;"Wesselburer Weg";1;583;"highway";"bus_stop";"2016-01-30";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2241478,52.6074981]}";"";""
8182;"Haselhorster Damm/Gartenfelder Straße";1;583;"highway";"bus_stop";"2016-10-29";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2402357,52.543086]}";"";""
8227;"Spechtstraße";1;583;"highway";"bus_stop";"2016-01-30";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2332559,52.5859166]}";"";""
8234;"Mühlenweg";1;583;"highway";"bus_stop";"2016-01-30";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2488003,52.5932598]}";"";""
8307;"Weinbrennerweg";1;583;"highway";"bus_stop";"2016-02-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3441947,52.5825076]}";"";""
8308;"Weinbrennerweg";1;396;"public_transport";"stop_position";"2016-02-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3441947,52.5825076]}";"";""
8317;"Mäckeritzwiesen";1;583;"highway";"bus_stop";"2016-07-03";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2696812,52.5499968]}";"";""
8347;"Coiffeur Murat";1;69;"shop";"hairdresser";"2012-01-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4332249,52.464473]}";"";""
8356;"Tiefenseer Straße";1;583;"highway";"bus_stop";"2016-01-31";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3635533,52.5971565]}";"";""
8424;"Briefkasten";1;243;"amenity";"post_box";"2016-08-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5541314,52.447651]}";"";""
8452;"Lahnstraße/U-Bahnhof Neukölln";1;396;"public_transport";"stop_position";"2016-08-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4424428,52.4677595]}";"";""
8468;"Windsteiner Weg";1;583;"highway";"bus_stop";"2016-01-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.251611,52.411926]}";"";""
8483;"Von-Laue-Straße";1;396;"public_transport";"stop_position";"2016-03-26";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2885681,52.4437177]}";"";""
8549;"Zweigbibliothek Naturwissenschaften";1;172;"amenity";"library";"2015-12-13";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5314264,52.4310682]}";"";""
8550;"Askanierring";1;396;"public_transport";"stop_position";"2016-08-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1936563,52.5459059]}";"";""
8560;"KTM";1;118;"shop";"motorcycle";"2013-09-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5739135,52.4021134]}";"";""
8562;"Langhoffstraße";1;583;"highway";"bus_stop";"2016-04-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5428618,52.5343284]}";"";""
8563;"Langhoffstraße";1;396;"public_transport";"stop_position";"2016-04-08";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5428618,52.5343284]}";"";""
8602;"Darßer Straße/Piesporter Straße";1;583;"highway";"bus_stop";"2016-05-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4781242,52.5667181]}";"";""
8656;"An den Siedlergärten";1;583;"highway";"bus_stop";"2016-02-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6311456,52.5298094]}";"";""
8657;"Riesaer Straße";1;583;"highway";"bus_stop";"2015-12-30";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6236004,52.5295687]}";"";""
8658;"Riesaer Straße";1;396;"public_transport";"stop_position";"2015-12-30";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.6236004,52.5295687]}";"";""
8689;"T-34";1;630;"historic";"undefined";"2014-04-12";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3725761,52.5162032]}";"";""
8709;"Gottfriedstraße";1;583;"highway";"bus_stop";"2016-02-10";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5206238,52.5536213]}";"";""
8720;"Siedlung Wartenberg";1;583;"highway";"bus_stop";"2014-08-27";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.530784,52.583968]}";"";""
8769;"Genfenbergstraße";1;583;"highway";"bus_stop";"2016-07-09";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1976414,52.5176238]}";"";""
8779;"Café Morgenrot";1;163;"amenity";"cafe";"2016-10-05";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4088297,52.5375431]}";"";""
8785;"Commerzbank";1;159;"amenity";"undefined";"2014-09-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2970246,52.5106472]}";"";""
8817;"Schleusinger Straße";1;583;"highway";"bus_stop";"2015-12-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.5635126,52.556306]}";"";""
8854;"Flachbecken";1;213;"amenity";"fountain";"2009-09-14";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2566792,52.5188216]}";"";""
8862;"U Mierendorffplatz";1;549;"railway";"subway_entrance";"2014-10-11";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3041928,52.5269341]}";"";""
8863;"Cafeteria TU Marchstraße";1;169;"amenity";"restaurant";"2016-03-18";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3234066,52.5166071]}";"";""
