id;name;type_target;classification_id;classname;subclassname;valid_since;valid_until;point;line;polygon
15453;"BrotfabrikBühne";1;221;"amenity";"theatre";"2014-06-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4307318,52.5525607]}";"";""
15487;"Lebensmittel und Getränke";1;32;"shop";"convenience";"2015-02-06";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4083302,52.5533409]}";"";""
15779;"Loretta am Wannsee";1;169;"amenity";"restaurant";"2016-06-03";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.1758302,52.419966]}";"";""
15869;"U Frankfurter Tor";1;583;"highway";"bus_stop";"2015-12-20";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4523065,52.5160922]}";"";""
15977;"Bagdad";1;165;"amenity";"fast_food";"2015-11-28";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4421693,52.5007079]}";"";""
15994;"U Fehrbelliner Platz";1;583;"highway";"bus_stop";"2016-01-22";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3138992,52.4901224]}";"";""
16180;"U Südstern";1;583;"highway";"bus_stop";"2015-12-12";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.4081999,52.4888279]}";"";""
16183;"Norma";1;49;"shop";"supermarket";"2011-10-23";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3606387,52.4123187]}";"";""
16270;"Berliner Sparkasse";1;159;"amenity";"undefined";"2011-09-01";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.3108093,52.4677116]}";"";""
16460;"Liberty Pizza";1;165;"amenity";"fast_food";"2015-02-04";"2017-07-10";"{""type"":""Point"",""coordinates"":[13.2578952,52.4357294]}";"";""
